Feature,23-XX Speed,23-XX Pulsing,All Other Speed,All Servo
:ref:`manual_velocity_control_mechanisms`,X,X,X,X
:ref:`uart_messaging`,X,X,X,X
:ref:`manual_buzzer_control`,X,X,X,X
:ref:`manual_safety`,X,X,X,X
:ref:`manual_timeout`,X,X,X,X
:ref:`manual_throttle`,X,X,X,
:ref:`manual_zero_spin`,X,X,X,
:ref:`controlling_ifci`,X,X,X,
:ref:`correcting_underactuated_torque`,,X,,
:ref:`timer_based_protocol`,X,,X,X
:ref:`manual_telemetry`,X,,X,
:ref:`manual_advanced_arming`,X,,X,
:ref:`manual_stop_detection`,X,,X,
:ref:`dronecan_protocol`,,,X,
:ref:`manual_angle_control_mechanisms`,,,X,X
:ref:`manual_stow_position`,,,X,
:ref:`manual_led_support`,,,X :sup:`(1)`,
:ref:`redundant_throttle_manual`,,,X,